date,use_expanded,turnover,embedded_selected_source_cost,missing_switch_cost
2024-07-17,False,,,
2024-07-18,False,,,
2024-07-19,False,,,
2024-07-22,False,,,
2024-07-23,False,,,
2024-07-24,False,,,
2024-07-25,False,,,
2024-07-26,False,,,
2024-07-29,False,,,
2024-07-30,False,,,
2024-07-31,False,,,
2024-08-01,False,,,
2024-08-02,False,,,
2024-08-05,False,,,
2024-08-06,False,,,
2024-08-07,False,,,
2024-08-08,False,,,
2024-08-09,False,,,
2024-08-12,False,,,
2024-08-13,False,,,
2024-08-14,False,,,
2024-08-15,False,,,
2024-08-16,False,,,
2024-08-19,False,,,
2024-08-20,False,,,
2024-08-21,False,,,
2024-08-22,False,,,
2024-08-23,False,,,
2024-08-26,False,,,
2024-08-27,False,,,
2024-08-28,False,,,
2024-08-29,False,,,
2024-08-30,False,,,
2024-09-03,False,,,
2024-09-04,False,,,
2024-09-05,False,,,
2024-09-06,False,,,
2024-09-09,False,,,
2024-09-10,False,,,
2024-09-11,False,,,
2024-09-12,False,,,
2024-09-13,False,,,
2024-09-16,False,,,
2024-09-17,False,,,
2024-09-18,False,,,
2024-09-19,False,,,
2024-09-20,False,,,
2024-09-23,False,,,
2024-09-24,False,,,
2024-09-25,False,,,
2024-09-26,False,,,
2024-09-27,False,,,
2024-09-30,False,,,
2024-10-01,False,,,
2024-10-02,False,,,
2024-10-03,False,,,
2024-10-04,False,,,
2024-10-07,False,,,
2024-10-08,False,,,
2024-10-09,False,,,
2024-10-10,False,,,
2024-10-11,False,,,
2024-10-14,False,,,
2024-10-15,False,,,
2024-10-16,False,,,
2024-10-17,False,,,
2024-10-18,False,,,
2024-10-21,False,,,
2024-10-22,False,,,
2024-10-23,False,,,
2024-10-24,False,,,
2024-10-25,False,,,
2024-10-28,False,,,
2024-10-29,False,,,
2024-10-30,False,,,
2024-10-31,False,,,
2024-11-01,False,,,
2024-11-04,False,,,
2024-11-05,False,,,
2024-11-06,False,,,
2024-11-07,False,,,
2024-11-08,False,,,
2024-11-11,False,,,
2024-11-12,False,,,
2024-11-13,False,,,
2024-11-14,False,,,
2024-11-15,False,,,
2024-11-18,False,,,
2024-11-19,False,,,
2024-11-20,False,,,
2024-11-21,False,,,
2024-11-22,False,,,
2024-11-25,False,,,
2024-11-26,False,,,
2024-11-27,False,,,
2024-11-29,False,,,
2024-12-02,False,,,
2024-12-03,False,,,
2024-12-04,False,,,
2024-12-05,False,,,
2024-12-06,False,,,
2024-12-09,False,,,
2024-12-10,False,,,
2024-12-11,False,,,
2024-12-12,False,,,
2024-12-13,False,,,
2024-12-16,False,,,
2024-12-17,False,,,
2024-12-18,False,,,
2024-12-19,False,,,
2024-12-20,False,,,
2024-12-23,False,,,
2024-12-24,False,,,
2024-12-26,False,,,
2024-12-27,False,,,
2024-12-30,False,,,
2024-12-31,False,,,
2025-01-02,False,,,
2025-01-03,False,,,
2025-01-06,False,,,
2025-01-07,False,,,
2025-01-08,False,,,
2025-01-10,False,,,
2025-01-13,False,,,
2025-01-14,False,,,
2025-01-15,False,,,
2025-01-16,False,,,
2025-01-17,False,,,
2025-01-21,False,,,
2025-01-22,False,,,
2025-01-23,False,,,
2025-01-24,False,,,
2025-01-27,False,,,
2025-01-28,False,,,
2025-01-29,False,,,
2025-01-30,False,,,
2025-01-31,False,,,
2025-02-03,False,,,
2025-02-04,False,,,
2025-02-05,False,,,
2025-02-06,False,,,
2025-02-07,False,,,
2025-02-10,False,,,
2025-02-11,False,,,
2025-02-12,False,,,
2025-02-13,False,,,
2025-02-14,False,,,
2025-02-18,False,,,
2025-02-19,False,,,
2025-02-20,False,,,
2025-02-21,False,,,
2025-02-24,False,,,
2025-02-25,False,,,
2025-02-26,False,,,
2025-02-27,False,,,
2025-02-28,False,,,
2025-03-03,False,,,
2025-03-04,False,,,
2025-03-05,False,,,
2025-03-06,False,,,
2025-03-07,False,,,
2025-03-10,False,,,
2025-03-11,False,,,
2025-03-12,False,,,
2025-03-13,False,,,
2025-03-14,False,,,
2025-03-17,False,,,
2025-03-18,False,,,
2025-03-19,False,,,
2025-03-20,False,,,
2025-03-21,False,,,
2025-03-24,False,,,
2025-03-25,False,,,
2025-03-26,False,,,
2025-03-27,False,,,
2025-03-28,False,,,
2025-03-31,False,,,
2025-04-01,False,,,
2025-04-02,False,,,
2025-04-03,False,,,
2025-04-04,False,,,
2025-04-07,False,,,
2025-04-08,False,,,
2025-04-09,False,,,
2025-04-10,False,,,
2025-04-11,False,,,
2025-04-14,False,,,
2025-04-15,False,,,
2025-04-16,False,,,
2025-04-17,False,,,
2025-04-21,False,,,
2025-04-22,False,,,
2025-04-23,False,,,
2025-04-24,False,,,
2025-04-25,False,,,
2025-04-28,False,,,
2025-04-29,False,,,
2025-04-30,False,,,
2025-05-01,False,,,
2025-05-02,False,,,
2025-05-05,False,,,
2025-05-06,False,,,
2025-05-07,False,,,
2025-05-08,True,1.0,0.0,0.001
2025-05-09,True,,,
2025-05-12,True,,,
2025-05-13,True,,,
2025-05-14,True,,,
2025-05-15,True,,,
2025-05-16,True,,,
2025-05-19,True,,,
2025-05-20,True,,,
2025-05-21,True,,,
2025-05-22,False,0.7,0.0,0.0007
2025-05-23,False,,,
2025-05-27,False,,,
2025-05-28,False,,,
2025-05-29,False,,,
2025-05-30,False,,,
2025-06-02,False,,,
2025-06-03,False,,,
2025-06-04,False,,,
2025-06-05,False,,,
2025-06-06,False,,,
2025-06-09,False,,,
2025-06-10,False,,,
2025-06-11,False,,,
2025-06-12,False,,,
2025-06-13,False,,,
2025-06-16,False,,,
2025-06-17,False,,,
2025-06-18,False,,,
2025-06-20,False,,,
2025-06-23,False,,,
2025-06-24,False,,,
2025-06-25,False,,,
2025-06-26,False,,,
2025-06-27,False,,,
2025-06-30,False,,,
2025-07-01,False,,,
2025-07-02,False,,,
2025-07-03,False,,,
2025-07-07,False,,,
2025-07-08,False,,,
2025-07-09,False,,,
2025-07-10,False,,,
2025-07-11,False,,,
2025-07-14,False,,,
2025-07-15,False,,,
2025-07-16,False,,,
2025-07-17,False,,,
2025-07-18,False,,,
2025-07-21,False,,,
2025-07-22,False,,,
2025-07-23,False,,,
2025-07-24,False,,,
2025-07-25,False,,,
2025-07-28,False,,,
2025-07-29,False,,,
2025-07-30,False,,,
2025-07-31,False,,,
2025-08-01,False,,,
2025-08-04,False,,,
2025-08-05,False,,,
2025-08-06,False,,,
2025-08-07,False,,,
2025-08-08,False,,,
2025-08-11,False,,,
2025-08-12,False,,,
2025-08-13,False,,,
2025-08-14,False,,,
2025-08-15,False,,,
2025-08-18,False,,,
2025-08-19,False,,,
2025-08-20,False,,,
2025-08-21,False,,,
2025-08-22,False,,,
2025-08-25,False,,,
2025-08-26,False,,,
2025-08-27,False,,,
2025-08-28,False,,,
2025-08-29,False,,,
2025-09-02,False,,,
2025-09-03,False,,,
2025-09-04,False,,,
2025-09-05,False,,,
2025-09-08,False,,,
2025-09-09,False,,,
2025-09-10,False,,,
2025-09-11,False,,,
2025-09-12,False,,,
2025-09-15,False,,,
2025-09-16,False,,,
2025-09-17,False,,,
2025-09-18,False,,,
2025-09-19,False,,,
2025-09-22,False,,,
2025-09-23,False,,,
2025-09-24,False,,,
2025-09-25,False,,,
2025-09-26,False,,,
2025-09-29,False,,,
2025-09-30,False,,,
2025-10-01,False,,,
2025-10-02,False,,,
2025-10-03,False,,,
2025-10-06,False,,,
2025-10-07,False,,,
2025-10-08,False,,,
2025-10-09,False,,,
2025-10-10,False,,,
2025-10-13,False,,,
2025-10-14,False,,,
2025-10-15,False,,,
2025-10-16,False,,,
2025-10-17,False,,,
2025-10-20,False,,,
2025-10-21,False,,,
2025-10-22,False,,,
2025-10-23,False,,,
2025-10-24,False,,,
2025-10-27,False,,,
2025-10-28,False,,,
2025-10-29,False,,,
2025-10-30,False,,,
2025-10-31,False,,,
2025-11-03,False,,,
2025-11-04,False,,,
2025-11-05,False,,,
2025-11-06,False,,,
2025-11-07,False,,,
2025-11-10,False,,,
2025-11-11,False,,,
2025-11-12,False,,,
2025-11-13,False,,,
2025-11-14,False,,,
2025-11-17,False,,,
2025-11-18,False,,,
2025-11-19,False,,,
2025-11-20,False,,,
2025-11-21,False,,,
2025-11-24,False,,,
2025-11-25,False,,,
2025-11-26,False,,,
2025-11-28,False,,,
2025-12-01,False,,,
2025-12-02,False,,,
2025-12-03,False,,,
2025-12-04,False,,,
2025-12-05,False,,,
2025-12-08,False,,,
2025-12-09,False,,,
2025-12-10,False,,,
2025-12-11,False,,,
2025-12-12,False,,,
2025-12-15,False,,,
2025-12-16,False,,,
2025-12-17,False,,,
2025-12-18,False,,,
2025-12-19,False,,,
2025-12-22,False,,,
2025-12-23,False,,,
2025-12-24,False,,,
2025-12-26,False,,,
2025-12-29,False,,,
2025-12-30,False,,,
2025-12-31,False,,,
2026-01-02,False,,,
2026-01-05,False,,,
2026-01-06,False,,,
2026-01-07,False,,,
2026-01-08,False,,,
2026-01-09,False,,,
2026-01-12,False,,,
2026-01-13,False,,,
2026-01-14,False,,,
2026-01-15,False,,,
2026-01-16,False,,,
2026-01-20,False,,,
2026-01-21,False,,,
2026-01-22,False,,,
2026-01-23,False,,,
2026-01-26,False,,,
2026-01-27,False,,,
2026-01-28,False,,,
2026-01-29,False,,,
2026-01-30,False,,,
2026-02-02,False,,,
2026-02-03,False,,,
2026-02-04,False,,,
2026-02-05,False,,,
2026-02-06,False,,,
2026-02-09,False,,,
2026-02-10,False,,,
2026-02-11,False,,,
2026-02-12,False,,,
2026-02-13,False,,,
2026-02-17,False,,,
2026-02-18,False,,,
2026-02-19,False,,,
2026-02-20,False,,,
2026-02-23,False,,,
2026-02-24,False,,,
2026-02-25,False,,,
2026-02-26,False,,,
2026-02-27,False,,,
2026-03-02,False,,,
2026-03-03,False,,,
2026-03-04,False,,,
2026-03-05,False,,,
2026-03-06,False,,,
2026-03-09,False,,,
2026-03-10,False,,,
2026-03-11,False,,,
2026-03-12,False,,,
2026-03-13,False,,,
2026-03-16,False,,,
2026-03-17,False,,,
2026-03-18,False,,,
2026-03-19,False,,,
2026-03-20,False,,,
2026-03-23,False,,,
2026-03-24,False,,,
2026-03-25,False,,,
2026-03-26,False,,,
2026-03-27,False,,,
2026-03-30,False,,,
2026-03-31,False,,,
2026-04-01,False,,,
2026-04-02,False,,,
2026-04-06,False,,,
2026-04-07,False,,,
2026-04-08,False,,,
2026-04-09,True,1.0,0.0,0.001
2026-04-10,True,,,
2026-04-13,True,,,
2026-04-14,True,,,
2026-04-15,True,,,
2026-04-16,True,,,
2026-04-17,True,,,
2026-04-20,True,,,
2026-04-21,True,,,
2026-04-22,True,,,
2026-04-23,False,0.6785456503076229,0.0,0.0006785456503076
2026-04-24,False,,,
2026-04-27,False,,,
2026-04-28,False,,,
2026-04-29,False,,,
2026-04-30,False,,,
2026-05-01,False,,,
2026-05-04,False,,,
2026-05-05,False,,,
2026-05-06,False,,,
2026-05-07,False,,,
2026-05-08,False,,,
2026-05-11,False,,,
2026-05-12,False,,,
2026-05-13,False,,,
2026-05-14,False,,,
2026-05-15,False,,,
2026-05-18,False,,,
2026-05-19,False,,,
2026-05-20,False,,,
2026-05-21,False,,,
2026-05-22,False,,,
2026-05-26,False,,,
2026-05-27,False,,,
2026-05-28,False,,,
2026-05-29,False,,,
2026-06-01,False,,,
2026-06-02,False,,,
2026-06-03,False,,,
2026-06-04,False,,,
2026-06-05,False,,,
2026-06-08,False,,,
2026-06-09,False,,,
2026-06-10,False,,,
2026-06-11,False,,,
2026-06-12,False,,,
2026-06-15,False,,,
2026-06-16,False,,,
2026-06-17,False,,,
